price;city;square;land_plot_surface;transport_exists_nearby;medical_service_exists_nearby;cluster
740000.0;9.0;140.0;231.0;0.0;0.0;1
390000.0;11.0;104.0;280.0;1.0;0.0;2
640000.0;27.0;95.0;70.0;1.0;0.0;2
990000.0;9.0;175.0;100.0;1.0;0.0;2
570000.0;9.0;157.0;278.0;1.0;0.0;2
660000.0;0.0;125.0;710.0;1.0;0.0;2
1150000.0;22.0;146.0;358.0;1.0;0.0;2
770000.0;7.0;115.0;227.0;1.0;1.0;0
1865000.0;23.0;200.0;60.0;1.0;0.0;2
2040000.0;33.0;160.0;1800.0;1.0;1.0;0
2680000.0;4.0;240.0;0.0;1.0;0.0;0
879000.0;7.0;137.0;371.0;1.0;1.0;0
790000.0;31.0;120.0;260.0;1.0;0.0;2
1545000.0;11.0;203.0;250.0;1.0;0.0;2
2290000.0;27.0;290.0;1000.0;1.0;1.0;0
480000.0;2.0;84.0;224.0;1.0;0.0;2
529000.0;6.0;60.0;116.0;0.0;0.0;1
699000.0;27.0;84.0;125.0;1.0;0.0;2
1100000.0;27.0;141.0;1236.0;1.0;1.0;0
990000.0;22.0;130.0;240.0;1.0;0.0;2
500000.0;24.0;90.0;195.0;1.0;1.0;0
1080000.0;31.0;211.0;846.0;1.0;1.0;0
570000.0;24.0;85.0;437.0;1.0;0.0;2
850000.0;9.0;125.0;457.0;1.0;0.0;2
885000.0;6.0;117.0;0.0;1.0;0.0;2
595000.0;8.0;124.0;147.0;1.0;0.0;2
334000.0;0.0;76.0;166.0;1.0;0.0;2
294000.0;0.0;52.0;33.0;1.0;0.0;2
759000.0;27.0;120.0;337.0;1.0;0.0;2
600000.0;24.0;106.0;296.0;1.0;0.0;2
339000.0;9.0;48.0;0.0;1.0;0.0;2
495000.0;22.0;92.0;453.0;1.0;0.0;2
970000.0;30.0;118.0;148.0;0.0;0.0;1
830000.0;24.0;149.0;70.0;1.0;0.0;2
540800.0;0.0;109.0;330.0;1.0;0.0;2
778000.0;0.0;118.0;389.0;1.0;0.0;2
1260000.0;9.0;175.0;613.0;1.0;0.0;2
609000.0;24.0;90.0;215.0;1.0;0.0;2
750000.0;31.0;120.0;338.0;1.0;0.0;2
450000.0;11.0;109.0;0.0;1.0;0.0;2
365000.0;11.0;97.0;55.0;1.0;1.0;0
650000.0;11.0;120.0;195.0;1.0;0.0;2
750000.0;14.0;100.0;70.0;1.0;1.0;0
1090000.0;9.0;141.0;550.0;0.0;0.0;1
610000.0;1.0;97.0;85.0;1.0;0.0;2
710000.0;14.0;80.0;145.0;1.0;0.0;2
1550000.0;11.0;232.0;802.0;1.0;0.0;2
1195740.0;7.0;220.0;560.0;1.0;0.0;2
845000.0;11.0;110.0;116.0;1.0;0.0;2
1200000.0;20.0;242.0;386.0;1.0;1.0;0
849000.0;7.0;190.0;556.0;1.0;1.0;0
341000.0;31.0;85.0;170.0;1.0;0.0;2
950000.0;17.0;124.0;162.0;0.0;0.0;1
600000.0;1.0;120.0;0.0;1.0;0.0;2
1095000.0;11.0;166.0;275.0;1.0;0.0;2
1275000.0;24.0;231.0;406.0;1.0;1.0;0
900000.0;11.0;145.0;200.0;1.0;0.0;2
695000.0;9.0;160.0;170.0;1.0;0.0;2
889000.0;7.0;135.0;665.0;1.0;0.0;2
890000.0;6.0;131.0;230.0;1.0;0.0;2
795000.0;24.0;138.0;180.0;0.0;0.0;1
470000.0;24.0;73.0;61.0;1.0;0.0;2
999000.0;5.0;230.0;314.0;1.0;0.0;2
690000.0;11.0;252.0;300.0;1.0;1.0;0
860000.0;11.0;167.0;0.0;1.0;0.0;2
749000.0;2.0;156.0;200.0;1.0;1.0;0
950000.0;8.0;200.0;465.0;1.0;1.0;0
775000.0;3.0;102.0;156.0;1.0;0.0;2
675000.0;8.0;110.0;152.0;1.0;0.0;2
