price;city;square;land_plot_surface;medical_service_exists_nearby;cluster
740000.0;9.0;140.0;231.0;0.0;1
390000.0;11.0;104.0;280.0;0.0;1
640000.0;27.0;95.0;70.0;0.0;1
990000.0;9.0;175.0;100.0;0.0;1
570000.0;9.0;157.0;278.0;0.0;1
660000.0;0.0;125.0;710.0;0.0;1
1150000.0;22.0;146.0;358.0;0.0;0
770000.0;7.0;115.0;227.0;1.0;2
1865000.0;23.0;200.0;60.0;0.0;0
2040000.0;33.0;160.0;1800.0;1.0;0
2680000.0;4.0;240.0;0.0;0.0;0
879000.0;7.0;137.0;371.0;1.0;2
790000.0;31.0;120.0;260.0;0.0;1
1545000.0;11.0;203.0;250.0;0.0;0
2290000.0;27.0;290.0;1000.0;1.0;0
480000.0;2.0;84.0;224.0;0.0;1
529000.0;6.0;60.0;116.0;0.0;1
699000.0;27.0;84.0;125.0;0.0;1
1100000.0;27.0;141.0;1236.0;1.0;2
990000.0;22.0;130.0;240.0;0.0;1
500000.0;24.0;90.0;195.0;1.0;2
1080000.0;31.0;211.0;846.0;1.0;2
570000.0;24.0;85.0;437.0;0.0;1
850000.0;9.0;125.0;457.0;0.0;1
885000.0;6.0;117.0;0.0;0.0;1
595000.0;8.0;124.0;147.0;0.0;1
334000.0;0.0;76.0;166.0;0.0;1
294000.0;0.0;52.0;33.0;0.0;1
759000.0;27.0;120.0;337.0;0.0;1
600000.0;24.0;106.0;296.0;0.0;1
339000.0;9.0;48.0;0.0;0.0;1
495000.0;22.0;92.0;453.0;0.0;1
970000.0;30.0;118.0;148.0;0.0;1
830000.0;24.0;149.0;70.0;0.0;1
540800.0;0.0;109.0;330.0;0.0;1
778000.0;0.0;118.0;389.0;0.0;1
1260000.0;9.0;175.0;613.0;0.0;0
609000.0;24.0;90.0;215.0;0.0;1
750000.0;31.0;120.0;338.0;0.0;1
450000.0;11.0;109.0;0.0;0.0;1
365000.0;11.0;97.0;55.0;1.0;2
650000.0;11.0;120.0;195.0;0.0;1
750000.0;14.0;100.0;70.0;1.0;2
1090000.0;9.0;141.0;550.0;0.0;1
610000.0;1.0;97.0;85.0;0.0;1
710000.0;14.0;80.0;145.0;0.0;1
1550000.0;11.0;232.0;802.0;0.0;0
1195740.0;7.0;220.0;560.0;0.0;0
845000.0;11.0;110.0;116.0;0.0;1
1200000.0;20.0;242.0;386.0;1.0;2
849000.0;7.0;190.0;556.0;1.0;2
341000.0;31.0;85.0;170.0;0.0;1
950000.0;17.0;124.0;162.0;0.0;1
600000.0;1.0;120.0;0.0;0.0;1
1095000.0;11.0;166.0;275.0;0.0;1
1275000.0;24.0;231.0;406.0;1.0;2
900000.0;11.0;145.0;200.0;0.0;1
695000.0;9.0;160.0;170.0;0.0;1
889000.0;7.0;135.0;665.0;0.0;1
890000.0;6.0;131.0;230.0;0.0;1
795000.0;24.0;138.0;180.0;0.0;1
470000.0;24.0;73.0;61.0;0.0;1
999000.0;5.0;230.0;314.0;0.0;0
690000.0;11.0;252.0;300.0;1.0;2
860000.0;11.0;167.0;0.0;0.0;1
749000.0;2.0;156.0;200.0;1.0;2
950000.0;8.0;200.0;465.0;1.0;2
775000.0;3.0;102.0;156.0;0.0;1
675000.0;8.0;110.0;152.0;0.0;1
1295000.0;20.0;229.0;165.0;1.0;2
1875000.0;12.0;195.0;166.0;0.0;0
750000.0;32.0;92.0;0.0;0.0;1
1140000.0;11.0;159.0;212.0;0.0;1
850000.0;8.0;160.0;166.0;1.0;2
940000.0;27.0;128.0;41.0;1.0;2
1140000.0;27.0;145.0;271.0;0.0;0
1345000.0;1.0;200.0;250.0;1.0;2
990000.0;27.0;141.0;363.0;0.0;1
945000.0;30.0;161.0;187.0;0.0;0
1139000.0;27.0;130.0;116.0;0.0;0
950000.0;22.0;151.0;200.0;1.0;2
998000.0;8.0;215.0;258.0;0.0;0
880000.0;27.0;131.0;525.0;1.0;2
799000.0;2.0;185.0;40.0;0.0;1
795000.0;0.0;160.0;293.0;0.0;1
600000.0;11.0;121.0;179.0;0.0;1
1290000.0;19.0;103.0;0.0;0.0;1
960000.0;11.0;128.0;494.0;0.0;1
1095000.0;31.0;151.0;353.0;0.0;0
564000.0;8.0;118.0;0.0;0.0;1
1495000.0;26.0;190.0;354.0;1.0;2
699000.0;11.0;130.0;150.0;0.0;1
595000.0;0.0;131.0;306.0;0.0;1
1165000.0;1.0;110.0;193.0;1.0;2
790000.0;22.0;110.0;106.0;0.0;1
799000.0;27.0;145.0;190.0;0.0;1
599000.0;9.0;145.0;290.0;0.0;1
630000.0;11.0;129.0;0.0;0.0;1
485000.0;11.0;73.0;281.0;0.0;1
669000.0;7.0;141.0;387.0;0.0;1
1145000.0;24.0;175.0;528.0;1.0;2
745000.0;24.0;114.0;481.0;0.0;1
499000.0;0.0;140.0;110.0;0.0;1
470000.0;23.0;58.0;0.0;1.0;2
1200000.0;0.0;156.0;330.0;1.0;2
857000.0;27.0;144.0;0.0;0.0;1
2590000.0;26.0;195.0;0.0;0.0;0
549000.0;27.0;71.0;139.0;1.0;2
1345000.0;3.0;216.0;495.0;0.0;0
820000.0;9.0;178.0;286.0;0.0;1
1160000.0;27.0;170.0;350.0;0.0;0
399900.0;26.0;83.0;0.0;0.0;1
1090000.0;2.0;163.0;300.0;1.0;2
1390000.0;33.0;161.0;180.0;0.0;0
1650000.0;33.0;193.0;200.0;0.0;0
320000.0;16.0;38.0;55.0;0.0;1
600000.0;16.0;55.0;80.0;1.0;2
765000.0;22.0;102.0;450.0;0.0;1
1370000.0;27.0;177.0;514.0;0.0;0
825000.0;0.0;200.0;434.0;0.0;1
3000000.0;4.0;295.0;0.0;0.0;0
795000.0;27.0;138.0;322.0;0.0;1
730000.0;7.0;131.0;434.0;0.0;1
1035000.0;27.0;140.0;270.0;0.0;0
886000.0;27.0;109.0;0.0;0.0;1
1494000.0;8.0;182.0;364.0;1.0;2
449000.0;9.0;100.0;264.0;1.0;2
975000.0;0.0;131.0;500.0;1.0;2
518500.0;0.0;95.0;350.0;1.0;2
800000.0;9.0;124.0;0.0;0.0;1
1470000.0;1.0;170.0;355.0;0.0;0
