list_id;price;city;lat;lng;type;square;land_plot_surface;rooms;bedrooms;nb_bathrooms;nb_shower_room;energy_rate;ges;nb_floors;nb_parkings;annual_charges;transport_exists_nearby;school_exists_nearby;medical_service_exists_nearby;centre_of_town_exists_nearby;nb_square_meter_basement;nb_square_meter_balcony
2958114788.0;759000.0;27.0;48.8847088336765;2.1654024611262352;1.0;120.0;337.0;5.0;4.0;1.0;1.0;8.0;6.0;1.0;1.0;2442.628619137711;1.0;1.0;0.0;1.0;0.0;0.0
2948965766.0;600000.0;24.0;48.88236319474132;2.208589744708717;1.0;106.0;296.0;5.0;3.0;2.0;2.0;8.0;6.0;1.0;1.0;1550.0;1.0;1.0;0.0;1.0;0.0;0.0
2936217621.0;339000.0;9.0;48.81395572111799;2.255608027747624;1.0;48.0;0.0;3.0;1.0;1.0;0.0;8.0;6.0;1.0;0.0;960.0;1.0;1.0;0.0;1.0;0.0;0.0
2889574052.0;495000.0;22.0;48.81072432244075;2.252877546411707;1.0;92.0;453.0;5.0;4.0;1.0;1.0;11.0;11.0;2.0;2.0;2103.9877924419525;1.0;1.0;0.0;1.0;0.0;21.5
2844424692.0;970000.0;30.0;48.87377680332368;2.216628086333897;1.0;118.0;148.0;5.0;4.0;1.0;1.0;10.0;9.0;1.0;1.0;4315.0;0.0;0.0;0.0;0.0;0.0;0.0
2785633569.0;830000.0;24.0;48.88734283996703;2.200827044625888;1.0;149.0;70.0;6.0;4.0;1.0;2.0;7.0;7.0;4.0;1.0;1500.0;1.0;0.0;0.0;1.0;0.0;0.0
2895522785.0;540800.0;0.0;48.75679565904251;2.277087686326207;1.0;109.0;330.0;5.0;4.0;1.0;1.0;9.0;9.0;1.0;1.0;3065.0;1.0;1.0;0.0;0.0;49.0;0.0
2956346161.0;778000.0;0.0;48.74025044815835;2.2964774855890586;1.0;118.0;389.0;5.0;4.0;2.0;2.0;5.0;5.0;2.0;4.0;535.0;1.0;1.0;0.0;1.0;0.0;0.0
2953142174.0;1260000.0;9.0;48.805237975482;2.267831239978757;1.0;175.0;613.0;7.0;4.0;1.0;1.0;8.0;6.0;3.0;2.0;3045.4474435054663;1.0;0.0;0.0;1.0;0.0;0.0
2945015856.0;609000.0;24.0;48.88003400721672;2.206937730383554;1.0;90.0;215.0;5.0;3.0;1.0;1.0;6.0;5.0;2.0;2.0;2257.837973318239;1.0;1.0;0.0;1.0;40.0;0.0
2952407948.0;750000.0;31.0;48.81557939007789;2.2131657255162667;1.0;120.0;338.0;4.0;3.0;1.0;1.0;8.0;8.0;1.0;1.0;1895.0;1.0;1.0;0.0;1.0;25.0;0.0
